info @storybook/react v6.3.0
info 
info => Cleaning outputDir: /var/folders/yg/3x_3zqw12q5fhdzl1cr2ss55swgn8g/T/chromatic--97293-cBiGtmOpc17G
info => Copying static files: ./public => ./
info => Loading presets
info => Compiling preview..
info => Loading 1 config file in "/Users/r.rossington/Desktop/ro/taskbox/.storybook"
info => Loading 9 other files in "/Users/r.rossington/Desktop/ro/taskbox/.storybook"
info => Adding stories defined in "/Users/r.rossington/Desktop/ro/taskbox/.storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/core-client/dist/esm/globals/globals.js /Users/r.rossington/Desktop/ro/taskbox/.storybook/storybook-init-framework-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/preview.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/node_modules/storybook-addon-outline/dist/esm/preset/addDecorator.js-generated-other-entry.js /Users/r.rossington/Desktop/ro/taskbox/.storybook/preview.js-generated-config-entry.js /Users/r.rossington/Desktop/ro/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 14% building 37/62 modules 25 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 14% building 38/62 modules 24 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 14% building 39/62 modules 23 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 14% building 40/62 modules 22 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 14% building 41/62 modules 21 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 15% building 42/62 modules 20 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 15% building 43/62 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 15% building 44/62 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 15% building 44/63 modules 19 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 15% building 45/63 modules 18 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 15% building 46/63 modules 17 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 15% building 47/63 modules 16 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 15% building 48/63 modules 15 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 15% building 49/63 modules 14 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 50/63 modules 13 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 51/63 modules 12 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 52/63 modules 11 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 53/63 modules 10 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 54/63 modules 9 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 55/63 modules 8 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 56/63 modules 7 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 57/63 modules 6 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 16% building 58/63 modules 5 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 17% building 59/63 modules 4 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
<s> [webpack.Progress] 17% building 60/63 modules 3 active /Users/r.rossington/Desktop/ro/taskbox/node_modules/@storybook/react/dist/esm/client/index.js
